title,author,yearPublished,pageCount,genre,themes,moods,pace,grRating,myRating
Pew,Catherine Lacey,2020,211,literary fiction,"gender, race, categorization, empathy, conformity, community","challenging, mysterious, reflective",slow,3.7,4.5
Conversations with Friends,Salley Rooney,2017,305,"literary fiction, contemporary, romance","friendship, love, romance, infidelity","emotional, reflective",medium,3.8,4.25
War and Peace,Leo Tolstoy,1986,1273,"literary fiction, classics, historical","war, peace, family, relationships, love, class, marriage","challenging, emotional, reflective",slow,4.1,5
This Is How You Lose the Time War,"Max Gladstone, Amal El-Mohtar",2019,208,"fiction, romance, science fiction","lgbtq, love, friendship, desire, belonging, war","adventurous, challenging, emotional",medium,5,5
The New Me,Halle Butler,2019,208,"literary fiction, contemporary","mental illness, loneliness",reflective,medium,3.4,3.5
Hamnet,Maggie O'Farrell,2020,372,"literary fiction, historical","love, family, relationships, grief, loss, gender, forgivenessq","emotional, reflective, sad",slow,4.3,5
"Detransition, Baby",Torrey Peters,2021,337,"literary fiction, contemporary","lgbtq, love, friendship, motherhood, gender","emotional, reflective",medium,4,4
The People in the Trees,Hanya Yanagihara,2013,476,"fiction, fantasy, historical","power, vulnerability, abuse, colonialism",dark,slow,3.7,4.25
American Psycho,Bret Easton Ellis,1991,399,"fiction, horror, thriller","materialism, consumption, identity, isolation, violence, mental illness, crime","challenging, dark",slow,3.8,3.5
Advice for Taxidermists and Amateur Beekeepers,Erin Emily Ann Vance,2019,99,fiction,"grief, family, relationships","dark, mysterious",medium,4.4,5
The Dinner,Herman Koch,2009,311,"fiction, contemporary, mystery","family, morality, crime, sacrifice","dark, mysterious, tense",medium,3.2,2.75
The Iliac Crest,Cristina Rivera Garza,2002,200,"fiction, horror","sanity, desire, fear, freedom, gender, borders","challenging, mysterious, reflective",slow,3.7,5
Dune,Frank Herbert,1965,604,"fiction, classics, science fiction","colonialism, family, nature, tradition, power, politics, fear","adventurous, reflective",medium,4.2,3.75
In the Dream House,Carmen Maria Machado,2019,264,"nonfiction, memoir","lgbtq, feminism, abuse, bodies","challenging, dark, reflective",medium,4.5,5
The Final Girl Support Group,Grady Hendrix,2021,352,"fiction, horror, thriller","mental illness, loneliness, abuse, evil","dark, mysterious, tense",fast,3.6,3.75
Bunny,Mona Awad,2019,320,"literary fiction, contemporary, horror","loneliness, belonging, creativity, friendship, desire","dark, funny",fast,3.6,3.75
McGlue,Ottessa Moshfegh,2014,160,"literary fiction, historical","lgbtq, alcoholism, unreliable narrator, violence, death","dark, mysterious",medium,3.5,5
