title,author,yearPublished,pageCount,genre,themes,moods,pace,grRating,myPredRating
Shuggie Bain,Douglas Stuart,2020,448,"fiction, contemporary","lgbtq, addition","sad, emotional, dark",medium,4.3,
Untold Night and Day,Bae Suah,2013,152,literary fiction,magical realism,"mysterious, challenging, reflective",slow,3.6,
A Certain Hunger,Chelsea Summers,2019,240,"fiction, horror, thriller","feminism, gender",dark,fast,4,
On Earth We're Briefly Gorgeous,Ocean Vuong,2019,246,"fiction, contemporary","lgbtq, family","emotional, reflective",slow,4,
Memorial,Brian Washington,2020,320,"literary fiction, contemporary","lgbtq, race, grief, trauma","emotional, reflective",medium,3.6,
The Picture of Dorian Gray,Oscar Wilde,1890,272,"fiction, classics, horror","lgbtq, art, beauty","dark, mysterious",medium,4.1,
Nightbitch,Rachel Yoder,2021,238,"fiction, contemporary","feminism, gender, motherhood, magical realism","dark, mysterious",medium,3.7,
Crying in H Mart,Michelle Zauner,2021,256,"non-fiction, memoir","grief, family, food, race","emotional, reflective, sad",medium,4.3,
I Am Not Myself These Days,Josh Kilmer-Purcell,2006,308,"non-fiction, memoir","lgbtq, addiction, identity, loss","funny, lighthearted",fast,3.9,
Such a Fun Age,Kiley Reid,2019,320,"fiction, contemporary","race, privilege, wealth","challenging, reflective",fast,3.8,
I'm Thinking of Ending Things,Iain Reid,2016,224,"fiction, horror, thriller","aging, death, time","dark, mysterious, tense",medium,3.6,
So You've Been Publicly Shamed,Jon Ronson,2015,304,"non-fiction, psychology","controversy, cancel culture","funny, informative, lighthearted",fast,3.9,
"Beautiful World, Where Are You",Sally Rooney,2021,356,"literary fiction, contemporary","friendship, honesty, love",emotional,medium,3.6,
The Dark Interval,Rainer Maria Rilke,2018,128,"nonfiction, poetry","grief, loss, death, frindship","reflective, sad",slow,4.2,
The God of Small Things,Arundhati Roy,1997,340,"literary fiction, historical","family, politics, love, sexuality","emotional, reflective",slow,4,
Little Weirds,Jenny Slate,2019,240,"nonfiction, essays, memoir","marriage, divorce, self love","adventurous, funny, reflective",fast,3.8,
Frankenstein,Mary Shelley,1818,288,"fiction, classics, horror","family, alienation, ambition, dangerous knowledge","dark, reflective",slow,3.8,
Dracula,Bram Stoker,1897,454,"fiction, classics, horror","sexuality, religion, madness, fear","dark, mysterious, tense",slow,4,
Jude the Obscure,Thomas Hardy,1895,310,"fiction, classics","marriage, fate, religion, class","challenging, reflective",slow,3.8,
The Iliad,Homer,-750,560,"fiction, classics, poetry","glory, fate, morality, war",adventurous,medium,3.9,
The Odyssey,Homer,-800,541,"fiction, classics, poetry","cunning, temptation, justice, ","informative, inspiring",slow,3.8,
An American Marriage,Tayari Jones,2018,308,"literary fiction, contemporary","marriage, race, fathers, gender, stigma","emotional, reflective, sad",medium,4,
A Portrain of the Artist as a Young Man,James Joyce,1916,384,"fiction, classics","individualism, religion, art, irish autonomy",reflective,slow,3.6,
Snow Country,Yasunari Kawabata,1948,192,"fiction, classics, romance","loneliness, love, beauty, relationships",relective,slow,3.6,
My Year of Rest and Relaxation,Ottessa Moshfegh,2018,304,"literary fiction, contemporary","loneliness, mental illness","dark, funny, reflective",slow,3.7,
Kafka on the Shore,Haruki Murakami,2002,467,"literary fiction, contemporary","magical realism, fate, introspection","adventurous, mysterious, reflctive",medium,4.1,
Everything I Never Told You,Celeste Ng,2014,297,"literary fiction, historical, mystery, thriller","secrets, lies, innocence, guilt, loneliness, prejudice, grief","emotional, reflective, sad",medium,3.9,
East of Eden,John Steinbeck,1952,736,"literary fiction, classics, historical","good, evil, family, religion, identity, wealth","dark, emotional, reflective",slow,4.4,
The Catcher in the Rye,J.D. Salinger,1951,288,"literary fiction, classics","alienation, growing up, religion, grief, performance",reflective,slow,3.8,
Great Expectations,Charles Dickens,1861,505,"fiction, classics","ambition, class, crime, guilt, education, family",mysterious,slow,3.8,
Love in the Time of Cholera,Gabriel Garcia Marquez,1985,348,"fiction, historical, classics, romance","magical realism, love, sex, morality, social normas, illness, hope","emotional, reflective",slow,3.9,
Anna Karenina,Leo Tolstoy,1877,838,"literary fiction, classics","hypocrisy, jealousy, faith, family, marriage, society","challenging, emotional, reflective",slow,4.1,
"Slow Days, Fast Comapny",Eve Babitz,1977,184,"nonfiction, autobiography, memoir",relationships,reflective,medium,4.2,
Wuthering Heights,Emily Bronte,1847,464,"literary fiction, classics, romance","love, hate, class, revenge","dark, emotional",slow,3.9,
A Clockwork Orange,Anthony Burgess,1962,240,"fiction, classics, science fiction","order, society, evil, life, art, human nature","dark, reflective",slow,4,
If I Had Your Face,Frances Cha,2020,288,"literay fiction, contemporary","patriarchy, misogyny, abuse","literary fiction, contemporary",medium,3.8,
Do Androids Dream of Electric Sheep?,Philip DIck,1968,240,"fiction, science fiction","humanity, empathy, the environment, commodification, consumerism","adventurous, challenging, dark, reflective",medium,4.1,
The Year of Magical Thinking,Joan Didion,2005,227,"nonfiction, memoir","memory, love, grief, death","emotional, reflective, sad",medium,3.9,
Notes from Underground and The Double,Fyodor Dostoyevsky,1864,287,"fiction, classics","society, russain culture, rationalism, utopianism","dark, reflective",slow,4.2,
Tender is the Night,F. Scott Fitzgerald,1934,320,"fiction, classics","class, mental illness, abuse, codependence, love",reflective,slow,3.8,
Sharp Objects,Gillian Flynn,2006,396,"fiction, crime, mystery, thriller","abuse, victimization, control, dysfunction","dark, mysterious",medium,4,
The Collector,John Fowles,1963,283,"fiction, classics, horror, thriller","corruption, power, class, control","challenging, reflective",slow,4,
Less,Andrew Sean Greer,2017,272,"fiction, contemporary","lgbtq, sexuality, aging, class, love","funny, reflective",medium,3.7,
Leave the World Behind,Rumaan Alam,2020,256,"literary fiction, contemporary, thriller","race, class, technology, relationships, survival","challenging, mysterious, tense",medium,3.2,
Everything I Know About Love,Dolly Alderton,2018,368,"nonfiction, memoir","alcholism, relationships, mental illness, friendship","emotional, funny, reflective",medium,4.2,
Breasts and Eggs,Mieko Kawakami,2020,448,"literary fiction, contemporary","feminism, female empowerment, motherhood, womanhood","emotional, reflective",medium,3.8,
To Paradise,Hanya Yanagihara,2022,708,"literary fiction, science fiction, historical","lgbtq, class, race, love","emotional, reflective",medium,3.8,
Greedy,Jen Winston,2021,299,"nonfiction, memoir","lgbtq, sexuality, feminism","funny, informative, reflective",medium,4.1,
Piranesi,Susanna Clarke,2020,245,"literary fiction, fantas","time, loneliness, kindness, resilience, trauma, joy","adventurous, chellenging, mysterious",medium,4.3,
Say Nothing,Patrick Radden Keefe,2018,519,"nonfiction, history, politics, true crime","crime, religion, justifiable justice, sacrifice, grief","emotional, informative, reflective",medium,4.4,
Pachinko,Min Jin Lee,2017,496,"literary fiction, historical","family, survival, imperialism, identity, love, motherhood, womanhood","emotional, reflective, sad",slow,4.3,
The Master and Margarita,Mikhail Bulgakov,1966,335,"literary fiction, classics","magical realism, courage, good, evil, love, hope, soviet society","funny, mysterious",medium,,
